,cluster_id,Restaurant Name,main_cuisine,Negative Sentiment,Positive Sentiment,Address
241,5,Foodani Fastfood & Restaurant,Beverage,6.0,14.0,"Dhaka, Bangladesh"
242,3,The Kebab Express,Bangladeshi,7.0,13.0,"Dhaka, Bangladesh"
243,3,Jessy's Cooking,Bangladeshi,5.0,15.0,"Dhaka, Bangladesh"
244,4,Fries & Co.,Fast Food,2.0,18.0,"Dhaka, Bangladesh"
245,5,Manobsheba,Asian,7.0,13.0,"Dhaka, Bangladesh"
246,3,Shopnil Restora - Panthapath,Bangladeshi,18.0,2.0,"20/5 West Panthapath, Cornel Rashid Square Near Square Hospital, Panthapath, 1209 Dhaka"
247,3,Khabar Ghor Restora,Bangladeshi,6.0,14.0,"Godhuli Market, Shiroil Bus Terminal, 6000 Rajshahi"
248,4,NOSH,Fast Food,10.0,10.0,"14, East Shewrapara, Near Monipur School,( Hatil er Goli), Mirpur, 1216 Dhaka"
249,3,Arju Biryani and Restaurant,Bangladeshi,5.0,15.0,"11 No Commercial Plot, Khilji Road, Shyamoli, 1207 Dhaka"
250,5,Xinxian Restaurant Dhanmondi,Chinese,10.0,10.0,"House no. 7, Road no. 8, Dhanmondi, 1205 Dhaka"
251,4,Multi Food Court (MFC),Fast Food,1.0,19.0,"House no-8,Motaleb Plaza ground floor,Poribag,Hatirpool, Dhaka - 1000, 1000 Dhaka"
252,5,Chinatown,Chinese,10.0,10.0,"Dhaka, Bangladesh"
253,4,Mohua's Kitchen,Fast Food,1.0,19.0,"Dhaka, Bangladesh"
254,5,Nabila's La Cucina,Italian,15.0,5.0,"Dhaka, Bangladesh"
255,4,Cowboy Pizza,Fast Food,4.0,16.0,"294/4 Wapda, Ulon link road, West Rampura, 1219 Dhaka"
256,5,Sel Nibash Hotel,Chinese,19.0,1.0,"Dhaka, Bangladesh"
257,5,New Grand Sultan Restaurant & Chinese,Chinese,6.0,14.0,"20-24, A.G.B. Colony Kacha Bazar, Motijheel, 1000 Dhaka"
258,4,Gorom Thanda,Fast Food,6.0,14.0,"Dhaka, Bangladesh"
259,5,Humble Crumble - Bashundhara,Juice Corner,9.0,11.0,"Humble crumble, 2nd floor, Rajbari Food Court, Bashundhara residential area, 1229 Dhaka"
260,4,Hungry Eye,Fast Food,7.0,13.0,"Dhaka, Bangladesh"
261,3,Shima Kitchen Home,Bangladeshi,13.0,7.0,"Dhaka, Bangladesh"
262,4,Doi Ghor,Fast Food,7.0,13.0,"Dhaka, Bangladesh"
263,5,Tania's Kitchen,Rice Dishes,2.0,18.0,"13a Avenue 3, House No-1, Lane No-13, Avenue-3, Block- A, Section-11, Mirpur, 1216 Dhaka"
264,5,Freeze & Frizzle,Beverage,5.0,15.0,"Dhaka, Bangladesh"
265,5,EATON,Chinese,15.0,5.0,"House 01, Road 07, Block H, South Banasree Main Road, Banasree, Dhaka 1219 IN front of Holly Cresent School & College, 1219 Dhaka"
266,5,Dhaka Dessert Shop,Cakes & Bakery,11.0,9.0,"81/5, Indira road , Tejgaon, Dhaka, 1215 Dhaka"
267,4,The Courtyard at Park Heights,Fast Food,3.0,17.0,"Bay's Park Heights, House 2, Road 9, Dhanmondi, 1205 Dhaka"
268,5,Taste Of Home,Snacks,5.0,15.0,"Dhaka, Bangladesh"
269,4,Eataria,Fast Food,9.0,11.0,"Dhaka, Bangladesh"
270,3,Babur Kacchi,Bangladeshi,17.0,3.0,"Dhaka, Bangladesh"
271,4,YOD,Fast Food,13.0,7.0,"Dhaka, Bangladesh"
272,3,Chapsthan,Bangladeshi,17.0,3.0,"Urban Void Food Court, Bashundhara R/A, 1229 Dhaka"
273,4,CafeCyclists,Fast Food,18.0,2.0,"Dhaka, Bangladesh"
274,5,The Garden BBQ and Cafe,Kebab,13.0,7.0,"1/3 block D, road 27, dhanmondi, 1209 Dhaka"
275,5,Freshta Bangladesh,Cafe,7.0,13.0,"Dhaka, Bangladesh"
276,4,BOB-Best of Burger,Fast Food,20.0,0.0,"56/1/A , Monipur 60 fit road ( near by lazz pharma ), Mirpur ,Dhaka, 1216 Dhaka"
277,3,Alomgir Hotel and Restaurant,Bangladeshi,19.0,1.0,"Dhaka, Bangladesh"
278,5,Lopa's Cuisine,Chinese,15.0,5.0,"Dhaka, Bangladesh"
279,3,My Kitchen,Bangladeshi,1.0,19.0,"Dhaka, Bangladesh"
280,5,Daniyal Food & Cafe,Chinese,10.0,10.0,"Dhaka, Bangladesh"
