Restaurant Name,Negative Sentiment,Positive Sentiment
Ayaat Kitchen,1,0
Ayaat's Kitchen,21,27
Ayan Afshin Cakery,1,0
Ayan Biryani House & Fastfood,1,0
Ayan Khabar Ghor,1,0
Ayan's Food,1,0
Ayas Chotpoti & Fuchka,1,0
Ayash's Food Corner,1,0
Ayasha's Home Foods,1,0
Ayat Kitchen House,1,0
Ayat's Kitchen,2,0
Ayda Kitchen,1,0
Ayesha & Ayaz Kitchen,1,0
Ayesha Biryani House,1,0
Ayesha Fatiha's Quality Home Kitchen,1,0
Ayesha Food Court,1,0
Ayesha Kitchen,1,0
Ayesha Siddika's Kitchen,1,0
Ayesha's Kitchen,8,0
Ayesha's Rannaghar-Banasree,1,0
Ayesha's Rannaghar-Rampura,1,0
Ayeshaâ€™s Cooking Heaven,1,0
Ayeshaâ€™s Kitchen,1,0
Ayeshaâ€™s Ranna Ghor,1,0
Ayet Home Kitchen,1,0
Aylanto,1,0
Aymon's Kitchen,1,0
Aynaan's Home Kitchen,1,0
Ayozon Restora - Muradpur,1,0
Ayraa's Kitchen,1,0
Ayrin Cooking,1,0
Ayrin Kitchen,1,0
Aysha Akter Home Kitchen,1,0
Aysha Organic Kitchen,1,0
Aysha's Cooking,1,0
Aysha's Kitchen,4,0
Aysha's Kitchen & Restaurant,1,0
Ayshaâ€™s Khabar Dabar,1,0
Ayshaâ€™s Kitchen,1,0
Azaan's Cuisine,1,0
Azad Baburchi Biryani Ghor,1,0
Azad Dine,1,0
Azad Fuchka  House,1,0
Azad Hotel & Restaurant,1,0
Azain Kitchenette,1,0
Azaz bhaiyer kabab,1,0
Azim Mamar Kebab Ghor,1,0
Aziz Canteen,1,0
Aziza's Kitchen,1,0
Azman's Cafe,1,0
Azmir Hotel & Restaurant,1,0
Azra's Kitchen,1,0
Azuki Express,1,0
Azure Cuisine,1,0
B Cafe Mini Chinese  & sea food- Chata moszid,1,0
B Food,1,0
B M Biryani Plaza,1,0
B Maloncho,1,0
B-Baria Mollah Fuchka House,1,0
B-Baria Restaurant - Uttara,1,0
B-Bariya Shahi Chotpoti & Fuchka House,1,0
B. Baria Hotel & Restaurant,1,0
B. Box Food Court,1,0
B.D. Burger House,1,0
B.J Cafe & Restaurant,1,0
B.S Rannaghor,1,0
B.k. Restaurant Gulshan,1,0
BABLY's Kitchen,1,0
BACK WAY,1,0
BACK WAY 2,1,0
BACK WAY 3,1,0
BANGALI FOODS,1,0
BAR-B-Q Factory,1,0
BAR-B-Q TONITE,1,0
BB Convention Hall & Restaurant,1,0
BB's Chicken,1,0
BBQ Bangladesh - Uttara,1,0
BBQ CHA & CONTINENTAL FOOD,1,0
BBQ Cha & Foods,1,0
BBQ Express,1,0
BBQ Garden,1,0
BBQ Pasta,1,0
BBQ Pizza Hut,1,0
BBQ State,1,0
BD Bites,1,0
BD Burger Specialist,1,0
BD Cooking Light,1,0
BD Cooking Tips - PandaGo,1,0
BD Fine Cuisine,1,0
BD Food Service,1,0
BD Naga Fuchka House,1,0
BD Shawarma King - Paltan,1,0
BD.FC - Progoti Sharani,1,0
BEIRUT 99,1,0
BFC (Best Fried Chicken) - Badda (Engaze AI) - pandago,1,0
BFC (Best Fried Chicken) - Banani (Engaze AI) - pandago,1,0
